DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,hour,day,month,year,lag_1_hour,rolling_24_hour_mean
48621.07,47783.37,37850.0,119.84,0.0032,30385.0,3849.92,0.1267,2020.0,403.21,0.1996,28365.0,3446.71,0.1215,8602.67,8602.67,72.0,1579.1699999999998,32.34,1546.83,,,,,,,17843.02,17435.4,14.89,657.0,15581.41,15390.3,28.95,1483.27,370.87,1112.4,6593.97,6355.0,4.0,130.48,3,23,7,2015,44891.72,57939.84208333333
43018.59,42191.37,40449.0,0.04,0.0,38451.0,9213.81,0.2396,2902.0,2916.47,1.005,35549.0,6297.34,0.1771,7890.32,6965.61,0.0,1732.82,327.33,1405.49,,,,,,,16702.1,17300.49,0.04,2166.0,13308.33,12481.02,0.0,5167.27,2589.14,2578.13,5117.84,5444.25,0.0,147.72,22,17,4,2017,46003.93,43241.51791666667
45607.71,45648.43,43535.0,0.0,0.0,44993.0,6764.23,0.1503,3483.0,1719.82,0.4938,41511.0,5044.41,0.1215,9963.8,7776.77,0.0,1812.53,6.67,1805.86,,,,,,,16692.91,17480.45,0.0,1015.0,13449.25,14952.86,0.0,3866.09,1713.15,2152.94,5501.75,5438.35,0.0,70.61,23,15,5,2018,47802.99,59400.33729166666
47391.46,46022.03,38430.0,0.0,0.0,31545.0,21819.61,0.6917,2162.0,2768.15,1.2804,29383.0,19051.46,0.6484,8711.73,7345.63,0.0,8039.05,324.67,7714.38,,,,,,,17660.76,18254.88,0.0,3357.0,15050.29,14327.52,0.0,10030.55,2443.48,7587.07,5968.68,6094.0,0.0,393.01,4,9,11,2015,43013.41,46949.85364583333
49623.97,48878.96,,14248.45,,,16105.829999999998,,,5104.2,,,11001.63,,10657.3,9849.3,2380.0,3063.98,791.0,2272.98,50084.97,49258.96,14248.45,16105.829999999998,5104.2,11001.63,18545.17,18131.22,3449.07,1720.0,14634.27,15103.44,6216.57,10989.849999999999,4313.2,6676.65,5787.23,5795.0,2202.81,332.0,13,5,9,2020,50225.67,48069.114791666674
37011.76,40564.77,,0.0,,,21836.800000000003,,,3027.9,,,18808.9,,6763.47,7423.2,0.0,7043.63,6.54,7037.09,37318.24,40837.77,0.0,21836.800000000003,3027.9,18808.9,15297.34,15827.91,0.0,4723.0,10591.24,13374.66,0.0,9186.73,3021.36,6165.37,4359.71,3939.0,0.0,883.44,23,30,4,2020,39072.67,52046.326875
47337.91,48748.69,39335.0,17953.59,0.4564,35614.0,4744.12,0.1332,2449.0,1919.17,0.7837,33165.0,2824.95,0.0852,9313.29,9498.24,4349.0,533.77,35.27,498.5,,,,,,,17867.81,18617.92,4065.62,706.0,14877.84,14944.82,7201.97,3496.61,1883.9,1612.71,5278.97,5687.71,2337.0,7.74,8,25,9,2016,45544.72,44134.73635416667
47862.19,47420.87,,0.0,,,20998.56,,,5352.55,,,15646.01,,9895.46,9180.3,0.0,4869.87,481.51,4388.36,48263.19,47810.87,0.0,20998.56,5352.55,15646.01,17673.68,18089.25,0.0,3380.0,14364.23,14631.32,0.0,12460.8,4871.04,7589.76,5928.82,5520.0,0.0,287.89,2,8,2,2020,47932.56,62663.45947916666
64288.58,64757.9,41649.0,0.0,0.0,42390.0,9661.36,0.2279,3466.0,1277.67,0.3686,38924.0,8383.69,0.2154,12082.6,10743.3,0.0,1957.4,234.44,1722.96,,,,,,,24433.7,23721.94,0.0,2138.0,19532.3,21913.45,0.0,4750.45,1043.23,3707.22,8239.98,8379.21,0.0,815.51,5,15,12,2017,55872.68,66985.74677083333
67002.37,62958.8,39098.0,17547.95,0.4488,34789.0,16749.34,0.4815,2294.0,2305.21,1.0049,32495.0,14444.13,0.4445,11558.8,10288.7,4321.0,3548.5299999999997,0.97,3547.56,,,,,,,26104.81,24075.48,3298.64,2843.0,20801.56,19529.62,6854.31,10035.529999999999,2304.24,7731.29,8537.2,9065.0,3074.0,322.28,12,5,7,2016,68460.64,57245.42885416667
